entry_time,exit_time,symbol,direction,quantity,entry_price,exit_price,pnl,exit_reason,commission,slippage
2019-05-28 09:30:00,2019-05-28 14:00:00,SPY,BUY,1,283.88,281.64,-4.268276000000009,StopLoss,2.0,0.028276
2019-05-28 15:00:00,2019-05-29 09:30:00,SPY,SELL,1,280.2,278.44,-0.2679320000000091,TakeProfit,2.0,0.027932
2019-05-29 11:00:00,2019-05-30 09:30:00,SPY,SELL,1,277.0,279.74,-4.767837000000009,StopLoss,2.0,0.027837
2019-05-30 11:00:00,2019-05-31 09:30:00,SPY,SELL,1,278.72,275.88,0.8122700000000318,TakeProfit,2.0,0.02773
2019-05-31 11:00:00,2019-06-03 12:00:00,SPY,BUY,1,276.73,274.03,-4.727538000000045,StopLoss,2.0,0.027538
2019-06-04 09:30:00,2019-06-04 12:00:00,SPY,BUY,1,277.07,279.45,0.35217399999999544,TakeProfit,2.0,0.027826
2019-06-04 13:00:00,2019-06-05 09:30:00,SPY,BUY,1,279.79,281.82,0.0019194999999727139,TakeProfit,2.0,0.0280805
2019-06-05 13:00:00,2019-06-06 14:00:00,SPY,BUY,1,282.49,284.19,-0.3283340000000114,TakeProfit,2.0,0.028334
2019-06-06 15:00:00,2019-06-07 09:30:00,SPY,BUY,1,284.74,287.05,0.2814105000000023,TakeProfit,2.0,0.028589499999999997
2019-06-07 10:00:00,2019-06-10 11:00:00,SPY,BUY,1,288.73,290.69,-0.06897100000002046,TakeProfit,2.0,0.028971000000000004
2019-06-10 13:00:00,2019-06-11 15:00:00,SPY,SELL,1,289.67,288.89,-1.2489279999999705,TIME,2.0,0.028928
2019-06-12 10:00:00,2019-06-13 12:00:00,SPY,SELL,1,288.32,289.71,-3.4189014999999863,TIME,2.0,0.0289015
2019-06-20 14:00:00,2019-06-24 09:30:00,SPY,BUY,1,295.5,293.92,-3.609470999999984,TIME,2.0,0.029471000000000004
2019-07-01 15:00:00,2019-07-03 09:30:00,SPY,BUY,1,295.61,297.35,-0.2896479999999909,TakeProfit,2.0,0.029648
2019-08-01 10:00:00,2019-08-01 13:00:00,SPY,BUY,1,300.24,296.41,-5.8598324999999845,StopLoss,2.0,0.029832500000000005
2019-08-02 09:30:00,2019-08-05 09:30:00,SPY,SELL,1,292.95,287.3,3.6209874999999774,TakeProfit,2.0,0.0290125
2019-08-05 10:00:00,2019-08-05 14:00:00,SPY,SELL,1,286.41,282.79,1.5915400000000046,TakeProfit,2.0,0.028460000000000003
2019-08-06 09:30:00,2019-08-07 11:00:00,SPY,BUY,1,286.14,284.94,-3.228553999999989,TIME,2.0,0.028553999999999996
2019-08-07 13:00:00,2019-08-08 09:30:00,SPY,BUY,1,286.75,290.13,1.3511559999999954,TakeProfit,2.0,0.028843999999999998
2019-08-08 10:00:00,2019-08-09 12:00:00,SPY,BUY,1,291.31,291.09,-2.249120000000027,TIME,2.0,0.02912
2019-08-12 09:30:00,2019-08-12 14:00:00,SPY,SELL,1,289.41,287.37,0.011161000000020464,TakeProfit,2.0,0.028839
2019-08-13 09:30:00,2019-08-13 09:30:00,SPY,BUY,1,292.97,292.97,-2.029297,StopLoss,2.0,0.029297000000000004
2019-08-14 09:30:00,2019-08-14 11:00:00,SPY,SELL,1,288.31,285.7,0.5812995000000136,TakeProfit,2.0,0.0287005
2019-08-14 12:00:00,2019-08-15 14:00:00,SPY,SELL,1,284.38,284.16,-1.8084270000000295,TIME,2.0,0.028426999999999997
2019-08-16 09:30:00,2019-08-19 09:30:00,SPY,BUY,1,286.91,292.02,3.081053499999957,TakeProfit,2.0,0.028946500000000003
2019-08-19 15:00:00,2019-08-20 15:00:00,SPY,SELL,1,292.32,290.05,0.24088149999998182,TakeProfit,2.0,0.0291185
2019-08-21 09:30:00,2019-08-22 10:00:00,SPY,BUY,1,292.53,290.58,-3.9791554999999885,StopLoss,2.0,0.029155499999999994
2019-08-22 13:00:00,2019-08-23 09:30:00,SPY,BUY,1,292.6,290.93,-3.699176500000016,StopLoss,2.0,0.029176499999999998
2019-08-23 11:00:00,2019-08-23 11:00:00,SPY,SELL,1,286.7,286.7,-2.02867,StopLoss,2.0,0.028669999999999998
2019-08-23 15:00:00,2019-08-27 09:30:00,SPY,SELL,1,284.81,289.31,-6.528706,StopLoss,2.0,0.028706
2019-08-27 11:00:00,2019-08-28 13:00:00,SPY,SELL,1,287.42,288.48,-3.0887950000000024,TIME,2.0,0.028795000000000005
2019-08-28 14:00:00,2019-08-29 09:30:00,SPY,BUY,1,288.94,292.32,1.3509369999999954,TakeProfit,2.0,0.029063
2019-08-29 13:00:00,2019-08-30 15:00:00,SPY,BUY,1,292.94,292.46,-2.509270000000018,TIME,2.0,0.029269999999999997
2019-09-03 09:30:00,2019-09-03 10:00:00,SPY,SELL,1,291.35,290.85,-1.52911,TakeProfit,2.0,0.029110000000000004
2019-09-03 13:00:00,2019-09-04 09:30:00,SPY,SELL,1,289.78,292.95,-5.199136500000016,StopLoss,2.0,0.0291365
2019-09-04 11:00:00,2019-09-05 09:30:00,SPY,BUY,1,293.45,297.52,2.040451499999993,TakeProfit,2.0,0.029548500000000002
2019-09-05 10:00:00,2019-09-06 12:00:00,SPY,BUY,1,298.05,298.21,-1.869813000000032,TIME,2.0,0.029813
2019-09-10 15:00:00,2019-09-11 12:00:00,SPY,BUY,1,298.2,299.72,-0.5098959999999614,TakeProfit,2.0,0.029896000000000002
2019-09-20 13:00:00,2019-09-23 15:00:00,SPY,SELL,1,298.68,298.25,-1.5998464999999933,TIME,2.0,0.0298465
2019-09-24 12:00:00,2019-09-24 12:00:00,SPY,SELL,1,295.25,295.25,-2.029525,StopLoss,2.0,0.029525
2019-09-25 14:00:00,2019-09-27 09:30:00,SPY,BUY,1,297.51,296.89,-2.6497200000000047,TIME,2.0,0.02972
2019-09-27 12:00:00,2019-09-30 12:00:00,SPY,SELL,1,294.91,297.36,-4.479613499999989,StopLoss,2.0,0.029613499999999997
2019-09-30 15:00:00,2019-10-01 11:00:00,SPY,SELL,1,296.81,294.73,0.050422999999984085,TakeProfit,2.0,0.029577
2019-10-01 12:00:00,2019-10-02 09:30:00,SPY,SELL,1,294.05,289.79,2.230807999999991,TakeProfit,2.0,0.029192000000000003
2019-10-02 10:00:00,2019-10-03 10:00:00,SPY,SELL,1,288.39,287.39,-1.028789,TakeProfit,2.0,0.028789
2019-10-03 12:00:00,2019-10-04 09:30:00,SPY,BUY,1,289.48,292.29,0.7809115000000023,TakeProfit,2.0,0.0290885
2019-10-04 11:00:00,2019-10-07 13:00:00,SPY,BUY,1,292.9,295.15,0.2205975,TIME,2.0,0.029402499999999998
2019-10-07 14:00:00,2019-10-08 09:30:00,SPY,SELL,1,293.74,289.66,2.050829999999984,TakeProfit,2.0,0.029170000000000005
2019-10-08 15:00:00,2019-10-09 13:00:00,SPY,SELL,1,288.55,291.39,-4.868996999999975,StopLoss,2.0,0.028997000000000002
2019-10-09 14:00:00,2019-10-11 09:30:00,SPY,BUY,1,291.94,297.26,3.2905399999999934,TIME,2.0,0.029460000000000004
2019-10-11 14:00:00,2019-10-15 09:30:00,SPY,BUY,1,298.29,297.41,-2.9097849999999954,TIME,2.0,0.029785000000000002
2019-10-15 10:00:00,2019-10-16 12:00:00,SPY,BUY,1,299.44,298.21,-3.259882500000018,TIME,2.0,0.0298825
2019-12-03 09:30:00,2019-12-04 09:30:00,SPY,SELL,1,308.15,311.67,-5.550991000000039,StopLoss,2.0,0.030990999999999998
